catchment,longitude,latitude,mean_sp,mean_ai,mean_si,bfi,q5Frac,low_fdc,mean_low_flow_dur,q95Frac,high_fdc,mean_high_flow_dur
1014,-92.48152,31.57295,0.00286119964210526,1.01390172792761,-0.113422639397579,0.4338799545205036,0.1371657256345291,3.0473975864674383,12.306513409961688,3.0272470522404205,5.993799679642155,2.429184549356223
1015,-90.26352,30.77443,0.0072193630821052604,0.890137880863639,0.104741016452841,0.4491532186049015,0.25442075381418394,1.254630235420168,11.951612903225806,3.079830177750645,6.377340576993373,2.9903381642512077
1016,-90.65774,30.87905,0.005510368508947369,0.905698370256,0.0450665152034875,0.4553069314118479,0.2216964807007544,1.3867991955276553,18.570621468926554,3.7435348664233943,7.008572790503405,4.396648044692737
1017,-92.94477,31.22562,0.00644373300368421,1.01247013655767,-0.0516826388857645,0.31920814178947143,0.0260464431441593,3.9905454853124223,26.704819277108435,4.4587978941696385,8.109425926454207,12.11842105263158
1018,-92.98258,30.94477,0.007570586671052631,0.993392564507281,-0.0231191668679429,0.46926469409201416,0.16224376469732185,2.3876765938615767,20.69736842105263,3.4532617807136474,6.067497792439331,4.796511627906977
1019,-93.4347,31.42961,0.00456507417684211,1.05846031101221,-0.088387255664976,0.2480124571567147,0.01128454609836104,7.467258541562208,18.474308300395258,4.411639962234874,9.143705817408518,5.259124087591241
1020,-93.84996,30.9381,0.0048122952784210495,1.01338385452604,0.00239228774220553,0.4330323924793945,0.11501457738843776,3.852135249687448,14.780952380952382,2.9226403652939132,5.881476028656645,2.593886462882096
1021,-94.90495,30.83703,0.00291622873526316,1.13799809197914,-0.0233177726543699,0.16347631474555982,0.0031872645893223,11.070033084029436,19.413427561837455,3.527095908373006,10.576306486154987,4.765734265734266
1022,-94.77758,30.60494,0.00281542666842105,1.08339110702726,0.0219736040039441,0.40899271206157434,0.10532807423507076,2.8938101202211053,23.97452229299363,3.550366317677527,6.919280679151044,6.026845637583893
1023,-95.29394,30.58203,0.00407349873157895,1.16884140054547,-0.00854255147811918,0.25181784766058896,0.03728004209890075,4.212497095577751,23.089201877934272,3.674570852967732,9.009643971614045,5.381642512077295
1024,-95.26521,30.5275,0.00460965692631579,1.15811408806756,0.00216192457745937,0.3056333264346149,0.04705139766468001,3.857392107311744,22.03030303030303,4.74133314928699,9.30300860910232,6.955056179775281
1025,-97.97121,30.66586,0.0018227081647368402,2.01828919465111,-0.0204629844784459,0.4398564504063114,0.00238526300025338,11.660257481946164,43.56,3.06108751699186,5.892278553897504,24.261363636363637
1026,-97.11498,30.41359,0.00267433336526316,1.7275164350492,-0.0551047470885001,0.23143276279496863,0.00246245349906967,13.60722409763066,34.03846153846154,3.8915760549224303,10.263266139414572,7.049689440993789
1027,-99.1282,30.46542,0.00143149822894737,2.73031454615115,0.0824009397820765,0.30883049797605727,0.00182628860729108,16.921906946186752,25.51366120218579,2.068728419908988,6.179652741024611,8.055944055944057
1028,-98.0296,30.25722,0.00227861081263158,2.01247691580116,0.00905342355848433,0.446327994908703,0.00627545126486718,6.5781169289814905,52.63414634146341,3.630796803244575,6.487441729730617,27.585365853658537
1029,-97.01247,29.30441,0.0034459064810526303,1.68226181681429,0.0151514912708594,0.1925889223454831,0.00277822619955722,11.714094095442174,29.697802197802197,3.5839117974288146,10.371417956043103,7.385542168674699
1030,-96.91521,29.64917,0.00486331516736842,1.64636411325835,-0.0290446884374561,0.15808941884463726,7.739965538522991e-5,24.28295091200997,29.640625,2.3529495237109916,9.25001011860557,5.928571428571429
1031,-99.5509,30.05147,0.0015998838289473698,2.67833725256114,0.132661872525069,0.6637905032311484,0.22881855698643225,2.949689490865312,11.535433070866144,1.7895269910203768,2.7266991175908455,3.3823529411764706
1032,-97.66095,29.31199,0.00291522467473684,1.96715137616936,0.00733711993103954,0.12038029147726503,0.00248275963154314,8.436670887780199,35.95092024539877,3.7678017718694847,13.41053785758984,10.382716049382717
1033,-99.31528,29.81589,0.0024635483421052602,2.41124931370423,0.0854876945294535,0.4703129217579475,0.00834815999191168,10.890656959583216,57.083333333333336,2.870502962518526,5.992800823734706,18.140625
